H,#,Stock,Buy Rate,Star,Moat,Fair$,Uncertainty,Leadership,Price,Fair%,mcap,trUp%
Y,82,VFC,60%,2,Narrow,66,Medium,Exemplary,71.71,-7.96%,,
,83,NEE,65%,2,Narrow,78,Low,Exemplary,84.92,-8.15%,,
,84,MCD,73%,3,Wide,240,Medium,Standard,262.11,-8.44%,,
,85,LLY,65%,2,Wide,235,Medium,Exemplary,259.93,-9.59%,,
,86,AXP,50%,3,Wide,158,Medium,Standard,174.96,-9.69%,,
,87,WDAY,88%,3,Wide,229,High,Exemplary,254.20,-9.91%,,
Y,88,MDLZ,78%,3,Wide,60,Medium,Standard,66.86,-10.26%,,
Y,89,JPM,61%,3,Wide,149,Medium,Exemplary,166.68,-10.61%,,
,90,FTNT,55%,3,Narrow,285,High,Standard,320,-10.94%,,
,91,QCOM,67%,3,Narrow,163,High,Standard,183.22,-11.04%,,
,92,GS,67%,3,Narrow,356,High,Standard,400.19,-11.04%,,
,93,PEP,52%,2,Wide,154,Low,Exemplary,173.64,-11.31%,,
,94,NKE,77%,2,Wide,132,Medium,Exemplary,148.97,-11.39%,,
,95,INTU,78%,2,Wide,511,Medium,Exemplary,576.9,-11.42%,,
,96,DG,78%,2,Narrow,203,Medium,Standard,229.35,-11.49%,,
,97,TJX,88%,2,Narrow,65,Medium,Standard,74.16,-12.35%,,
,98,DRI,68%,2,Narrow,128,High,Standard,146.14,-12.41%,,
Y,99,COST,59%,2,Wide,447,Medium,Exemplary,519.18,-13.90%,,
,100,PAYX,71%,2,Wide,110,High,Exemplary,128.66,-14.50%,,
,101,PLD,68%,2,None,131,High,Standard,153.81,-14.83%,,
,102,TMO,83%,2,Wide,520,Medium,Exemplary,615,-15.45%,,
,103,SNPS,88%,2,Narrow,285,High,Standard,339.8,-16.13%,,
,104,ABBV,77%,2,Narrow,114,Medium,Standard,136.18,-16.29%,,
,105,COP,87%,3,Narrow,69,High,Exemplary,82.75,-16.62%,,
,106,MCK,81%,2,Narrow,210,Medium,Standard,253.07,-17.02%,,
,107,F,56%,2,None,20,High,Standard,24.21,-17.39%,,
,108,UPS,59%,2,Wide,173,Medium,Standard,210.68,-17.88%,,
Y,109,UNH,86%,2,Narrow,382,Medium,Exemplary,466,-18.03%,,
,110,CAT,52%,2,Wide,180,High,Standard,220.13,-18.23%,,
,111,MRNA,44%,2,None,182,Very High,Standard,223,-18.39%,,
,112,MS,64%,2,Narrow,85,High,Exemplary,105.07,-19.10%,,
,113,ZBRA,62%,2,Narrow,430,High,Standard,531.74,-19.13%,,
Y,114,EL,68%,2,Wide,271,Medium,Standard,339.5,-20.18%,,
,115,EW,60%,2,Narrow,96,High,Exemplary,120.67,-20.44%,,
,116,AMD,56%,2,Narrow,109,High,Exemplary,137.6,-20.78%,,
,117,PYPL,86%,2,Narrow,151,High,Standard,192.39,-21.51%,,
,118,BAC,64%,2,Wide,38,Medium,Standard,48.97,-22.40%,,
,119,ABT,79%,2,Narrow,104,Medium,Standard,134.48,-22.67%,,
,120,ADSK,65%,2,Wide,209,Medium,Exemplary,270.53,-22.74%,,
,121,AON,82%,2,Narrow,222,Medium,Exemplary,287.77,-22.86%,,
,122,BG,67%,2,None,75,Very High,Standard,97.23,-22.86%,,
,123,PHM,56%,5,None,42,High,Standard,54.69,-23.20%,,
,124,SQ,66%,1,Narrow,115,Very High,Standard,150,-23.33%,,
,125,NEM,57%,3,None,46,Very High,Standard,60.51,-23.98%,,
,126,HLT,48%,2,Narrow,115,Medium,Standard,152.07,-24.38%,,
,127,ADM,63%,2,None,53,High,Exemplary,70.24,-24.54%,,
,128,LOW,70%,1,Wide,185,Medium,Exemplary,248.29,-25.49%,,
,129,SHOP,50%,2,Narrow,862,Very High,Standard,1157,-25.50%,,
,130,TGT,71%,1,None,169,Medium,Exemplary,228.47,-26.03%,,
,131,MMC,61%,1,Narrow,119,Medium,Exemplary,164.7,-27.75%,,
,132,AAPL,79%,2,Narrow,124,High,Exemplary,174.28,-28.85%,,
,133,SYK,53%,1,Wide,190,Medium,Exemplary,267.76,-29.04%,,
,134,DE,63%,2,Wide,270,High,Exemplary,380.72,-29.08%,,
,135,NVDA,81%,2,Wide,194,Very High,Exemplary,276,-29.71%,,
,136,MDB,67%,2,None,314,High,Exemplary,448,-29.91%,,
,137,ACN,70%,1,Wide,258,Medium,Exemplary,374,-31.02%,,
,138,EQIX,71%,2,Narrow,520,High,Exemplary,764.28,-31.96%,,
Y,139,TSLA,41%,2,Narrow,700,Very High,Exemplary,1061,-34.02%,,
,140,MSCI,50%,1,Wide,350,Medium,Exemplary,553.51,-36.77%,,
,141,HD,67%,1,Wide,244,Medium,Exemplary,389.52,-37.36%,,
,142,DHR,82%,1,Narrow,180,Medium,Standard,302,-40.40%,,
,143,LULU,60%,1,Narrow,193,High,Exemplary,342.57,-43.66%,,
,144,ISRG,47%,1,Wide,182,High,Exemplary,326.5,-44.26%,,
,145,IDXX,60%,1,Narrow,301,Medium,Exemplary,552.68,-45.54%,,
,146,NFLX,72%,1,Narrow,275,Very High,Standard,542,-49.26%,,
,147,ODFL,67%,1,None,164,Medium,Exemplary,325.7,-49.65%,,
,148,NUE,58%,2,None,44,High,Exemplary,102.09,-56.90%,,
