Ticker,Name,Sector
TXN,Texas Instruments Incorporated,Information Technology
IBM,International Business Machines Corporation,Information Technology
NEE,NextEra Energy Inc.,Utilities
ORCL,Oracle Corporation,Information Technology
LIN,Linde plc,Materials
LLY,Eli Lilly and Company,Health Care
SBUX,Starbucks Corporation,Consumer Discretionary
MMM,3M Company,Industrials
AMT,American Tower Corporation,Real Estate
QCOM,QUALCOMM Incorporated,Information Technology
DHR,Danaher Corporation,Health Care
GE,General Electric Company,Industrials
LMT,Lockheed Martin Corporation,Industrials
CVS,CVS Health Corporation,Health Care
MO,Altria Group Inc,Consumer Staples
LOW,Lowe's Companies Inc.,Consumer Discretionary
BKNG,Booking Holdings Inc.,Consumer Discretionary
FIS,Fidelity National Information Services Inc.,Information Technology
USB,U.S. Bancorp,Financials
AXP,American Express Company,Financials
UPS,United Parcel Service Inc. Class B,Industrials
GILD,Gilead Sciences Inc.,Health Care
CAT,Caterpillar Inc.,Industrials
MDLZ,Mondelez International Inc. Class A,Consumer Staples
ANTM,Anthem Inc.,Health Care
CI,Cigna Corporation,Health Care
CHTR,Charter Communications Inc. Class A,Communication Services
TFC,Truist Financial Corporation,Financials
ADP,Automatic Data Processing Inc.,Information Technology
BDX,Becton Dickinson and Company,Health Care
TJX,TJX Companies Inc,Consumer Discretionary
GS,Goldman Sachs Group Inc.,Financials
CME,CME Group Inc. Class A,Financials
COP,ConocoPhillips,Energy
CB,Chubb Limited,Financials
PNC,PNC Financial Services Group Inc.,Financials
INTU,Intuit Inc.,Information Technology
ISRG,Intuitive Surgical Inc.,Health Care
SYK,Stryker Corporation,Health Care
D,Dominion Energy Inc,Utilities
SPGI,S&P Global Inc.,Financials
FISV,Fiserv Inc.,Information Technology
SO,Southern Company,Utilities
DUK,Duke Energy Corporation,Utilities
TGT,Target Corporation,Consumer Discretionary
ZTS,Zoetis Inc. Class A,Health Care
BSX,Boston Scientific Corporation,Health Care
MS,Morgan Stanley,Financials
AGN,Allergan plc,Health Care
RTN,Raytheon Company,Industrials
MU,Micron Technology Inc.,Information Technology
BLK,BlackRock Inc.,Financials
CL,Colgate-Palmolive Company,Consumer Staples
CCI,Crown Castle International Corp,Real Estate
VRTX,Vertex Pharmaceuticals Incorporated,Health Care
CSX,CSX Corporation,Industrials
MMC,Marsh & McLennan Companies Inc.,Financials
AMAT,Applied Materials Inc.,Information Technology
PLD,Prologis Inc.,Real Estate
SLB,Schlumberger NV,Energy
SCHW,Charles Schwab Corporation,Financials
DE,Deere & Company,Industrials
GPN,Global Payments Inc.,Information Technology
NOC,Northrop Grumman Corporation,Industrials
BIIB,Biogen Inc.,Health Care
NOW,ServiceNow Inc.,Information Technology
ITW,Illinois Tool Works Inc.,Industrials
ICE,Intercontinental Exchange Inc.,Financials
APD,Air Products and Chemicals Inc.,Materials
AMD,Advanced Micro Devices Inc.,Information Technology
NSC,Norfolk Southern Corporation,Industrials
EQIX,Equinix Inc.,Real Estate
PSX,Phillips 66,Energy
HUM,Humana Inc.,Health Care
AON,Aon plc,Financials
ILMN,Illumina Inc.,Health Care
EW,Edwards Lifesciences Corporation,Health Care
EOG,EOG Resources Inc.,Energy
COF,Capital One Financial Corporation,Financials
ECL,Ecolab Inc.,Materials
SHW,Sherwin-Williams Company,Materials
KMB,Kimberly-Clark Corporation,Consumer Staples
DD,DuPont de Nemours Inc.,Materials
EMR,Emerson Electric Co.,Industrials
AEP,American Electric Power Company Inc.,Utilities
EL,Estee Lauder Companies Inc. Class A,Consumer Staples
GM,General Motors Company,Consumer Discretionary
SPG,Simon Property Group Inc.,Real Estate
ATVI,Activision Blizzard Inc.,Communication Services
LHX,L3Harris Technologies Inc,Industrials
WM,Waste Management Inc.,Industrials
WBA,Walgreens Boots Alliance Inc,Consumer Staples
AIG,American International Group Inc.,Financials
ADI,Analog Devices Inc.,Information Technology
EXC,Exelon Corporation,Utilities
SYY,Sysco Corporation,Consumer Staples
BAX,Baxter International Inc.,Health Care
SRE,Sempra Energy,Utilities
LRCX,Lam Research Corporation,Information Technology
BK,Bank of New York Mellon Corporation,Financials
PGR,Progressive Corporation,Financials
ROST,Ross Stores Inc.,Consumer Discretionary
MAR,Marriott International Inc. Class A,Consumer Discretionary
GD,General Dynamics Corporation,Industrials
KMI,Kinder Morgan Inc Class P,Energy
DOW,Dow Inc.,Materials
ADSK,Autodesk Inc.,Information Technology
DG,Dollar General Corporation,Consumer Discretionary
MET,MetLife Inc.,Financials
HCA,HCA Healthcare Inc,Health Care
ETN,Eaton Corp. Plc,Industrials
MPC,Marathon Petroleum Corporation,Energy
AFL,Aflac Incorporated,Financials
MCO,Moody's Corporation,Financials
VLO,Valero Energy Corporation,Energy
PRU,Prudential Financial Inc.,Financials
ROP,Roper Technologies Inc.,Industrials
F,Ford Motor Company,Consumer Discretionary
FDX,FedEx Corporation,Industrials
ALL,Allstate Corporation,Financials
OXY,Occidental Petroleum Corporation,Energy
TRV,Travelers Companies Inc.,Financials
NEM,Newmont Goldcorp Corporation,Materials
CTSH,Cognizant Technology Solutions Corporation Class A,Information Technology
DAL,Delta Air Lines Inc.,Industrials
ORLY,O'Reilly Automotive Inc.,Consumer Discretionary
XEL,Xcel Energy Inc.,Utilities
VFC,V.F. Corporation,Consumer Discretionary
WELL,Welltower Inc.,Real Estate
IR,Ingersoll-Rand Plc,Industrials
GIS,General Mills Inc.,Consumer Staples
TEL,TE Connectivity Ltd.,Information Technology
APH,Amphenol Corporation Class A,Information Technology
EA,Electronic Arts Inc.,Communication Services
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary
JCI,Johnson Controls International plc,Industrials
STZ,Constellation Brands Inc. Class A,Consumer Staples
PSA,Public Storage,Real Estate
PPG,PPG Industries Inc.,Materials
OKE,ONEOK Inc.,Energy
YUM,Yum! Brands Inc.,Consumer Discretionary
ZBH,Zimmer Biomet Holdings Inc.,Health Care
HPQ,HP Inc.,Information Technology
INFO,IHS Markit Ltd.,Industrials
ED,Consolidated Edison Inc.,Utilities
REGN,Regeneron Pharmaceuticals Inc.,Health Care
PEG,Public Service Enterprise Group Inc,Utilities
STT,State Street Corporation,Financials
AVB,AvalonBay Communities Inc.,Real Estate
WEC,WEC Energy Group Inc,Utilities
TROW,T. Rowe Price Group,Financials
AZO,AutoZone Inc.,Consumer Discretionary
KLAC,KLA Corporation,Information Technology
WMB,Williams Companies Inc.,Energy
EQR,Equity Residential,Real Estate
IQV,IQVIA Holdings Inc,Health Care
TDG,TransDigm Group Incorporated,Industrials
CMI,Cummins Inc.,Industrials
MSI,Motorola Solutions Inc.,Information Technology
EBAY,eBay Inc.,Consumer Discretionary
PCAR,PACCAR Inc,Industrials
SBAC,SBA Communications Corp. Class A,Real Estate
PAYX,Paychex Inc.,Information Technology
ES,Eversource Energy,Utilities
DFS,Discover Financial Services,Financials
EIX,Edison International,Utilities
TSN,Tyson Foods Inc. Class A,Consumer Staples
PH,Parker-Hannifin Corporation,Industrials
A,Agilent Technologies Inc.,Health Care
CNC,Centene Corporation,Health Care
FE,FirstEnergy Corp.,Utilities
WLTW,Willis Towers Watson Public Limited Company,Financials
ADM,Archer-Daniels-Midland Company,Consumer Staples
LUV,Southwest Airlines Co.,Industrials
PPL,PPL Corporation,Utilities
PXD,Pioneer Natural Resources Company,Energy
MCHP,Microchip Technology Incorporated,Information Technology
TWTR,Twitter Inc.,Communication Services
MCK,McKesson Corporation,Health Care
SWK,Stanley Black & Decker Inc.,Industrials
XLNX,Xilinx Inc.,Information Technology
DTE,DTE Energy Company,Utilities
APTV,Aptiv PLC,Consumer Discretionary
MNST,Monster Beverage Corporation,Consumer Staples
FLT,FleetCor Technologies Inc.,Information Technology
DLR,Digital Realty Trust Inc.,Real Estate
TMUS,T-Mobile US Inc.,Communication Services
ALXN,Alexion Pharmaceuticals Inc.,Health Care
VRSK,Verisk Analytics Inc,Industrials
LYB,LyondellBasell Industries NV,Materials
O,Realty Income Corporation,Real Estate
ETR,Entergy Corporation,Utilities
ROK,Rockwell Automation Inc.,Industrials
LVS,Las Vegas Sands Corp.,Consumer Discretionary
CERN,Cerner Corporation,Health Care
KR,Kroger Co.,Consumer Staples
NTRS,Northern Trust Corporation,Financials
RCL,Royal Caribbean Cruises Ltd.,Consumer Discretionary
MTB,M&T Bank Corporation,Financials
AME,AMETEK Inc.,Industrials
IDXX,IDEXX Laboratories Inc.,Health Care
FTV,Fortive Corp.,Industrials
GLW,Corning Inc,Information Technology
VIAC,ViacomCBS Inc. Class B,Communication Services
CTAS,Cintas Corporation,Industrials
RMD,ResMed Inc.,Health Care
WY,Weyerhaeuser Company,Real Estate
ANSS,ANSYS Inc.,Information Technology
AWK,American Water Works Company Inc.,Utilities
HSY,Hershey Company,Consumer Staples
FITB,Fifth Third Bancorp,Financials
DLTR,Dollar Tree Inc.,Consumer Discretionary
HIG,Hartford Financial Services Group Inc.,Financials
MSCI,MSCI Inc. Class A,Financials
CTVA,Corteva Inc,Materials
SYF,Synchrony Financial,Financials
BLL,Ball Corporation,Materials
HAL,Halliburton Company,Energy
VTR,Ventas Inc.,Real Estate
CMG,Chipotle Mexican Grill Inc.,Consumer Discretionary
AMP,Ameriprise Financial Inc.,Financials
SWKS,Skyworks Solutions Inc.,Information Technology
FAST,Fastenal Company,Industrials
MKC,McCormick & Company Incorporated,Consumer Staples
SNPS,Synopsys Inc.,Information Technology
CDW,CDW Corp.,Information Technology
HPE,Hewlett Packard Enterprise Co.,Information Technology
CBRE,CBRE Group Inc. Class A,Real Estate
CCL,Carnival Corporation,Consumer Discretionary
KEY,KeyCorp,Financials
VRSN,VeriSign Inc.,Information Technology
BBY,Best Buy Co. Inc.,Consumer Discretionary
ALGN,Align Technology Inc.,Health Care
BXP,Boston Properties Inc.,Real Estate
FRC,First Republic Bank,Financials
CDNS,Cadence Design Systems Inc.,Information Technology
ESS,Essex Property Trust Inc.,Real Estate
KHC,Kraft Heinz Company,Consumer Staples
UAL,United Airlines Holdings Inc.,Industrials
MTD,Mettler-Toledo International Inc.,Health Care
CLX,Clorox Company,Consumer Staples
KEYS,Keysight Technologies Inc,Information Technology
RSG,Republic Services Inc.,Industrials
VMC,Vulcan Materials Company,Materials
FCX,Freeport-McMoRan Inc.,Materials
CPRT,Copart Inc.,Industrials
AEE,Ameren Corporation,Utilities
ARE,Alexandria Real Estate Equities Inc.,Real Estate
WDC,Western Digital Corporation,Information Technology
IP,International Paper Company,Materials
DHI,D.R. Horton Inc.,Consumer Discretionary
AMCR,Amcor PLC,Materials
CMS,CMS Energy Corporation,Utilities
CFG,Citizens Financial Group Inc.,Financials
OMC,Omnicom Group Inc,Communication Services
MGM,MGM Resorts International,Consumer Discretionary
AJG,Arthur J. Gallagher & Co.,Financials
MLM,Martin Marietta Materials Inc.,Materials
CHD,Church & Dwight Co. Inc.,Consumer Staples
NUE,Nucor Corporation,Materials
K,Kellogg Company,Consumer Staples
HES,Hess Corporation,Energy
TFX,Teleflex Incorporated,Health Care
CXO,Concho Resources Inc.,Energy
EFX,Equifax Inc.,Industrials
DOV,Dover Corporation,Industrials
MXIM,Maxim Integrated Products Inc.,Information Technology
WCG,WellCare Health Plans Inc.,Health Care
PEAK,Healthpeak Properties Inc.,Real Estate
RF,Regions Financial Corporation,Financials
BKR,Baker Hughes Company Class A,Energy
CAG,Conagra Brands Inc.,Consumer Staples
LH,Laboratory Corporation of America Holdings,Health Care
LEN,Lennar Corporation Class A,Consumer Discretionary
COO,Cooper Companies Inc.,Health Care
CINF,Cincinnati Financial Corporation,Financials
HBAN,Huntington Bancshares Incorporated,Financials
INCY,Incyte Corporation,Health Care
KSU,Kansas City Southern,Industrials
GPC,Genuine Parts Company,Consumer Discretionary
CE,Celanese Corporation,Materials
FTNT,Fortinet Inc.,Information Technology
CAH,Cardinal Health Inc.,Health Care
WAT,Waters Corporation,Health Care
EXPE,Expedia Group Inc.,Consumer Discretionary
GWW,W.W. Grainger Inc.,Industrials
FANG,Diamondback Energy Inc.,Energy
MAA,Mid-America Apartment Communities Inc.,Real Estate
KMX,CarMax Inc.,Consumer Discretionary
EVRG,Evergy Inc.,Utilities
NLOK,NortonLifeLock Inc.,Information Technology
ULTA,Ulta Beauty Inc,Consumer Discretionary
TIF,Tiffany & Co.,Consumer Discretionary
WAB,Westinghouse Air Brake Technologies Corporation,Industrials
GRMN,Garmin Ltd.,Consumer Discretionary
DGX,Quest Diagnostics Incorporated,Health Care
PFG,Principal Financial Group Inc.,Financials
AKAM,Akamai Technologies Inc.,Information Technology
MKTX,MarketAxess Holdings Inc.,Financials
XYL,Xylem Inc.,Industrials
STX,Seagate Technology PLC,Information Technology
BR,Broadridge Financial Solutions Inc.,Information Technology
NTAP,NetApp Inc.,Information Technology
HOLX,Hologic Inc.,Health Care
MAS,Masco Corporation,Industrials
TTWO,Take-Two Interactive Software Inc.,Communication Services
ZBRA,Zebra Technologies Corporation Class A,Information Technology
HST,Host Hotels & Resorts Inc.,Real Estate
QRVO,Qorvo Inc.,Information Technology
IT,Gartner Inc.,Information Technology
CTXS,Citrix Systems Inc.,Information Technology
IFF,International Flavors & Fragrances Inc.,Materials
UDR,UDR Inc.,Real Estate
L,Loews Corporation,Financials
HAS,Hasbro Inc.,Consumer Discretionary
WYNN,Wynn Resorts Limited,Consumer Discretionary
CNP,CenterPoint Energy Inc.,Utilities
LDOS,Leidos Holdings Inc.,Information Technology
EXPD,Expeditors International of Washington Inc.,Industrials
FMC,FMC Corporation,Materials
NVR,NVR Inc.,Consumer Discretionary
EXR,Extra Space Storage Inc.,Real Estate
CBOE,Cboe Global Markets Inc,Financials
AES,AES Corporation,Utilities
ATO,Atmos Energy Corporation,Utilities
DRI,Darden Restaurants Inc.,Consumer Discretionary
FOXA,Fox Corporation Class A,Communication Services
URI,United Rentals Inc.,Industrials
SIVB,SVB Financial Group,Financials
VAR,Varian Medical Systems Inc.,Health Care
IEX,IDEX Corporation,Industrials
ABC,AmerisourceBergen Corporation,Health Care
STE,STERIS Plc,Health Care
CTL,CenturyLink Inc.,Communication Services
LNT,Alliant Energy Corp,Utilities
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Discretionary
XRAY,DENTSPLY SIRONA Inc.,Health Care
DRE,Duke Realty Corporation,Real Estate
LW,Lamb Weston Holdings Inc.,Consumer Staples
NDAQ,Nasdaq Inc.,Financials
BF.B,Brown-Forman Corporation Class B,Consumer Staples
HRL,Hormel Foods Corporation,Consumer Staples
J,Jacobs Engineering Group Inc.,Industrials
ARNC,Arconic Inc.,Industrials
ODFL,Old Dominion Freight Line Inc.,Industrials
NBL,Noble Energy Inc.,Energy
LNC,Lincoln National Corporation,Financials
SJM,J.M. Smucker Company,Consumer Staples
ALLE,Allegion PLC,Industrials
UHS,Universal Health Services Inc. Class B,Health Care
WU,Western Union Company,Information Technology
AAP,Advance Auto Parts Inc.,Consumer Discretionary
AAL,American Airlines Group Inc.,Industrials
JKHY,Jack Henry & Associates Inc.,Information Technology
RJF,Raymond James Financial Inc.,Financials
ANET,Arista Networks Inc.,Information Technology
RE,Everest Re Group Ltd.,Financials
AVY,Avery Dennison Corporation,Materials
LKQ,LKQ Corporation,Consumer Discretionary
TSCO,Tractor Supply Company,Consumer Discretionary
WRK,WestRock Company,Materials
MRO,Marathon Oil Corporation,Energy
PKI,PerkinElmer Inc.,Health Care
EMN,Eastman Chemical Company,Materials
DISCK,Discovery Inc. Class C,Communication Services
CHRW,C.H. Robinson Worldwide Inc.,Industrials
CMA,Comerica Incorporated,Financials
GL,Globe Life Inc.,Financials
PKG,Packaging Corporation of America,Materials
VNO,Vornado Realty Trust,Real Estate
REG,Regency Centers Corporation,Real Estate
HII,Huntington Ingalls Industries Inc.,Industrials
CF,CF Industries Holdings Inc.,Materials
ETFC,E*TRADE Financial Corporation,Financials
TXT,Textron Inc.,Industrials
MYL,Mylan N.V.,Health Care
LYV,Live Nation Entertainment Inc.,Communication Services
NI,NiSource Inc,Utilities
TAP,Molson Coors Brewing Company Class B,Consumer Staples
DVN,Devon Energy Corporation,Energy
PNW,Pinnacle West Capital Corporation,Utilities
JBHT,J.B. Hunt Transport Services Inc.,Industrials
PHM,PulteGroup Inc.,Consumer Discretionary
WRB,W. R. Berkley Corporation,Financials
NRG,NRG Energy Inc.,Utilities
HSIC,Henry Schein Inc.,Health Care
APA,Apache Corporation,Energy
DXC,DXC Technology Co.,Information Technology
NOV,National Oilwell Varco Inc.,Energy
SNA,Snap-on Incorporated,Industrials
DISH,DISH Network Corporation Class A,Communication Services
FBHS,Fortune Brands Home & Security Inc.,Industrials
WHR,Whirlpool Corporation,Consumer Discretionary
ZION,Zions Bancorporation N.A.,Financials
IRM,Iron Mountain Inc.,Real Estate
BWA,BorgWarner Inc.,Consumer Discretionary
FRT,Federal Realty Investment Trust,Real Estate
IPG,Interpublic Group of Companies Inc.,Communication Services
FTI,TechnipFMC Plc,Energy
KIM,Kimco Realty Corporation,Real Estate
ALK,Alaska Air Group Inc.,Industrials
CPB,Campbell Soup Company,Consumer Staples
JNPR,Juniper Networks Inc.,Information Technology
FFIV,F5 Networks Inc.,Information Technology
KSS,Kohl's Corporation,Consumer Discretionary
MHK,Mohawk Industries Inc.,Consumer Discretionary
AIZ,Assurant Inc.,Financials
TPR,Tapestry Inc.,Consumer Discretionary
HFC,HollyFrontier Corporation,Energy
PVH,PVH Corp.,Consumer Discretionary
PNR,Pentair plc,Industrials
ALB,Albemarle Corporation,Materials
AIV,Apartment Investment and Management Company Class A,Real Estate
SLG,SL Green Realty Corp.,Real Estate
ABMD,ABIOMED Inc.,Health Care
PBCT,People's United Financial Inc.,Financials
NWL,Newell Brands Inc,Consumer Discretionary
BEN,Franklin Resources Inc.,Financials
MOS,Mosaic Company,Materials
RHI,Robert Half International Inc.,Industrials
COG,Cabot Oil & Gas Corporation,Energy
XRX,Xerox Holdings Corporation,Information Technology
NLSN,Nielsen Holdings Plc,Industrials
PRGO,Perrigo Co. Plc,Health Care
FLIR,FLIR Systems Inc.,Information Technology
IVZ,Invesco Ltd.,Financials
DVA,DaVita Inc.,Health Care
LEG,Leggett & Platt Incorporated,Consumer Discretionary
AOS,A. O. Smith Corporation,Industrials
FLS,Flowserve Corporation,Industrials
SEE,Sealed Air Corporation,Materials
RL,Ralph Lauren Corporation Class A,Consumer Discretionary
UNM,Unum Group,Financials
HOG,Harley-Davidson Inc.,Consumer Discretionary
PWR,Quanta Services Inc.,Industrials
FOX,Fox Corporation Class B,Communication Services
CPRI,Capri Holdings Limited,Consumer Discretionary
HBI,Hanesbrands Inc.,Consumer Discretionary
NWSA,News Corporation Class A,Communication Services
XEC,Cimarex Energy Co.,Energy
DISCA,Discovery Inc. Class A,Communication Services
IPGP,IPG Photonics Corporation,Information Technology
M,Macy's Inc,Consumer Discretionary
HP,Helmerich & Payne Inc.,Energy
HRB,H&R Block Inc.,Consumer Discretionary
ROL,Rollins Inc.,Industrials
ADS,Alliance Data Systems Corporation,Information Technology
JWN,Nordstrom Inc.,Consumer Discretionary
LB,L Brands Inc.,Consumer Discretionary
UAA,Under Armour Inc. Class A,Consumer Discretionary
GPS,Gap Inc.,Consumer Discretionary
UA,Under Armour Inc. Class C,Consumer Discretionary
COTY,Coty Inc. Class A,Consumer Staples
CASH_USD,U.S. Dollar,Unassigned
NWS,News Corporation Class B,Communication Services
